name,scientific_name,description,location,other_data,behaviour,min_size_for_catch,image
Oblada,Oblada melanura,"Cuerpo claramente ovalado y plano de color plateado que refleja la luz, con una mancha negra en la raíz de su cola, su boca está orientada hacia arriba, miden entre 15cm y 30 cm.","Suele encontrarse en mar abierto cercano a la costa, nadando en grupo y a menudo cerca de embarcaciones paradas y a poca profundidad sobre fondos arenosos.","Es una especie omnívora, se alimenta de algas y pequeños invertebrados bentónicos preferentemente.","Van en grupo y forman bancos en mar abierto, suelen revolotear por la superficie marítima.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/oblada_melanura_2.jpg
Sargo,Diplodus Sargus,"Cuerpo ovalado y muy plano de color plateado, con una mancha negra en la raíz de su cola y encima de los ojos, su boca tiene gruesos labios, algunos tienen bandas verticales oscuras en la parte superior de su cuerpo sobre todo cuando son jóvenes, miden entre 15cm y 30 cm.","Especie claramente costera, viven en las rocas, en las rompientes de las olas y se meten por cavidades. No frecuentan fondos de más de 50m de profundidad.","Se alimentan de organismos que viven en las rocas, pequeños invertebrados, erizos, estrellas de mar, algas.","Los más jóvenes viven en grupos, tienden a ser solitarios en etapas adultas, cuando se sienten amenazados se esconden en cuevas y agujeros rocosos.",23cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/diplodus_sargus_3-.jpg
Sargo Picudo,Diplodus puntazzo,"Cuerpo ovalado y muy plano de color plateado, con una mancha negra en la raíz de su cola la cual termina en color negro, también tiene un pequeña mancha negra en la raíz de su aleta pectoral. Su boca es aguda y alargada, algunos tienen bandas verticales oscurecidas en la parte superior de su cuerpo sobre todo cuando son jóvenes, pueden llegar a medir hasta 50cm.","Especie claramente costera como máximo a 50m de esta, viven en las rocas o en fondos frondosos de alga en hasta 50m de profundidad.","Se nutre de pequeñas esponjas, algas, gusanos, gambas y pequeños moluscos.","Los más jóvenes viven en grupos, tienden a ser solitarios en etapas adultas, cuando se sienten amenazados se esconden en cuevas y agujeros rocosos aunque a veces son algo despistados. Suelen alimentarse en paredes verticales.",18cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/diplodus_puntazzo_3.jpg
"Mojarra, Variada",Diplodus vulgaris,"Forma de cuerpo ovalada, con una prolongada banda negra vertical entre el cuerpo y el inicio de su cabeza, y otra similar en la raíz de la cola, de color plateado-azulado, pueden llegar a medir hasta 40cm.",En zonas de costa entre la frontera de roca y arena o fondos rocosos de no más de 50 m de profundidad.,"Se alimenta de bivalvos, algas, erizos, gusanos de mar, crustáceos, etc…","Suelen juntarse con sargos para ir en grupo con un comportamiento similar, cuando son jóvenes forman bancos y se esconden en cavidades para protegerse de depredadores.",18cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/diplodus_vulgaris_3.jpg
"Raspallón, Esparrall",Diplodus Annularis,"Cuerpo ovalado y muy plano de color plateado-amarillento, es similar a la variada pero más pequeño, unos 18cm de longitud media, tiene una mancha negra en la raíz de la cola y sus aletas son amarillas.",En fondos rocosos o en praderas de algas suspendidos entre ellas.,"Es una especie depredadora, caza gusanos, otros peces pequeños, moluscos, etc.","Suelen desplazarse de forma calmada por el fondo marino, no excesivamente grupales, se unen para desparasitarse entre ellos.",15cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/diplodus_annularis_2.jpg
"Sargo Real, Sargo Breado",Diplodus Cervinus,"Forma ovalada de color plateado con bandas verticales gruesas y oscuras y una mancha negra sobre los ojos, llega hasta los 60cm de longitud, tiene morros gruesos y amplios. Es el más grande de la familia de los Sargos.","Le gustan las aguas cálidas y costeras entre los 2m y los 80m de profundidad, y los fondos de roca, arena o fango.",Son omnívoros aunque prefieren otros animales a algas. Se reproducen de Enero a Abril.,Se puede ver en grupos de 5 a 10 o acompañado de otras especies similares.,15cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/diplodus_cervinus_2.jpg
"Pagel, Breca",Pagellus Erythrinus,"De cuerpo semi ovalado y alargado, su cabeza es de silueta oblicua, tiene una longitud de entre 20cm y 40cm, de color rosado y rojizo plateado, su vientre es más claro que el resto del cuerpo.",Vive en fondos de coral o arenosos y fangosos de entre 10m y 300m.,"Es omnívoro, aunque se alimenta en mayor medida de crustáceos y moluscos pequeños.",Suele vivir en pequeños grupos y en invierno se desplazan a aguas profundas.,15cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/pagellus_erythrinus_2.jpg
Aligote,Pagellus Acarne,"Cuerpo alargado y comprimido, de color gris y rosado, puede llegar a medir hasta 35 cm, aunque normalmente su longitud se sitúa alrededor de los 20 cm.","Vive sobre fondos arenosos o fangosos, entre los 20 y los 200m de profundidad.","A pesar de ser omnívoros prefieren gusanos, moluscos y crustáceos de pequeña talla.",A medida que avanza en edad vive en mayor profundidad.,17cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/pagellus-acarne2.jpg
"Besugo, Gorás","('',)","Cuerpo alargado de tipo fusiforme, alto y con cierta forma ovalada. Resaltan sus grandes ojos con boca pequeña. Su coloración es rojo pardo en la parte superior que se difumina con el plateado progresivamente bajando a su parte inferior. Su tamaño medio es de 35 cm de longitud. Tiene una característica mancha negra mancha oscura en el opérculo superior a principio de la línea lateral.","Los más jóvenes viven próximos a la costa, a medida que se hacen adultos se adentran a las profundidades entre los 100m y los 400m.","Es omnívoro, aunque se alimenta en mayor medida de gusanos, crustáceos y moluscos pequeños.","Los ejemplares jóvenes viven formándo grandes cardúmenes, mientras los que los adultos viven en solitario o en pequeños grupos",33cm,https://pecesmediterraneo.com/wp-content/uploads/2020/05/Pagellus_bogaraveo.jpg
Pargo,Pagrus pagrus,"Cuerpo oval, moderadamente voluminoso, su perfil de la cabeza es convexo, cabeza oscura desde la nuca hasta la boca, son de color rosa plateado, con un toque amarillento en la parte superior del cuerpo.","Vive en aguas poco profundas, nunca a más de 50m sobre fondos arenosos o de roca.",Se alimentan de otros peces pequeños o moluscos (cangrejos).,Normalmente son solitarios aunque a veces se ven pequeños grupos de no más de 4 peces.,15cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/pagrus_pagrus.jpg
Urta,Pargus Auriga,"Es una especie muy llamativa debido a las bandas verticales de color rojizo que atraviesan su cuerpo plateado azuloso, de perfil ovalado con una larga tira de espinas superior. Suele medir unos 40-60cm, aunque puede llegar a los 90cm de longitud.",Vive en los fondos cercanos a la costa entre los 2 y 200 m de profundidad en zonas rocosas o mixtas de arena y roca.,Se alimentan preferentemente de crustáceos y moluscos pequeños.,Es muy combativo y algo curioso al ser un depredador.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/pargus_auriga_3.jpg
Dorada,Sparus Aurata,"Silueta comprimida, de gran cabeza, su rasgo distintivo es una gran mancha negra en la zona branqueal y su color brillante con tonos dorados o grises, su boca es grande con morros amplios.","Se encuentra desde poca profundidad hasta los 30 m, prefiere los fondos arenosos aunque también se puede ver sobre fondos de roca.","Se alimentan de gusanos, crustáceos y moluscos. Se reproduce en los meses que van desde final de verano hasta llegar a Febrero.",Es un pez muy escurridizo y asustadizo. Se junta en pequeños grupos o en solitario.,20cm,https://pecesmediterraneo.com/wp-content/uploads/2019/07/sparus_aurata_4.jpg
Chopa,Spondyliosoma Cantharus,"Cuerpo oval y plano, de color gris-azul-plateado. Sus dientes son pequeños pero muy visibles y numerosos. Tiene una pequeña chepa tras la cabeza. Tiene una longitud de no más de 60cm.","Viven preferentemente sobre fondos rocosos aunque también se pueden encontrar sobre fondos arenosos o de algas. Los ejemplares adultos viven en grandes profundidades de hasta 300m, mientras que los más jóvenes pueden verse en profundidades de 8-10 metros.","Son omnívoros, se alimentan preferentemente de algas y lo complementan con pequeños crustáceos.",Cuando son jóvenes se agrupan en numerosos grupos cerca de la costa.,15cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/spondyliosoma_cantharus_2.jpg
Dentón,Dentex Dentex,"Cuerpo ovalado y plano, mayoritariamente plateado manchado con pequeñas marcas oscuras. Tiene una cabeza grande, de morro extenso que finaliza en una boca grande cuyo labio inferior está más pronunciado y dientes afilados. Tiene una longitud de entre 30cm y 50cm.","Viven en zonas rocosas y con vegetación. Habita en una profundidad que llega hasta los 200m, siendo más frecuente entre los 0 y los 50m, en verano se hacen más visibles cerca de la costa.","Esta especie es depredadora carnívora y voraz. Se alimenta de peces pequeños, de juveniles, de cangrejos y de su alimento predilecto los calamares.","Cuando son jóvenes se agrupan en pequeños grupos de 4 o 5, los adultos son solitarios. Se les puede ver cazando en grupos de peces con cierta violencia. Es muy desconfiado.",35cm,https://pecesmediterraneo.com/wp-content/uploads/2020/08/dentex_dentex_4.jpg
"Pez Piloto, Pàmpol",Naucrates Ductor,"Cuerpo alargado y comprimido, especie peciforme, tiene escamas muy pequeñas, de color gris azulado, destacan 6 bandas verticales oscuras que atraviesan su cuerpo. Pueden alcanzar los 65 cm de longitud.","Es un pez pelágico, nada en mar abierto junto a medusas, barcos, tiburones o rayas.","Se alimenta de parásitos de grandes peces a los que acompaña, deshechos de su comida e incluso heces.","Pese a que nada junto a depredadores como los tiburones, nunca son atacados por estos.","('',)",https://pecesmediterraneo.com/wp-content/uploads/2021/01/naucrates_ductor_3.jpg
Mabre. Herrera,Lithognathus Mormyrus,"Cuerpo ovalado y algo alargado a la vez que comprimido lateralmente, tiene una cabeza grande con morro ligeramente puntiagudo. De color mayormente plateado con diferentes tonalidades mas pálido en el vientre y oscuro en el lomo, se caracteriza por tener unas rallas verticales de color amarillo oscuro o marrón. Tiene una longitud de entre 30cm y 50cm.","Viven, sobre todo, en fondos arenosos o fangosos, hasta 20 metros de profundidad. También aparece en claros de arena entre rodeadas de posidonia. Le gustan las aguas con alto nivel de salinidad.","Le encanta alimentarse de gusanos, y pequeños crustáceos y moluscos.","En verano es común ver grupos de hasta 20 ejemplares nadando por las playas, es muy común en la pesca de playa.",20cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/lithognathus_mormyrus.jpg
Salpa,Sarpa Salpa,"Cuerpo alargado, y algo ovalado y comprimido lateralmente con la cabeza pequeña, con boca pequeña. Suele medir entre 25-30cm de longitud. Tiene un color verdoso-plateada destacan sus rallas horizontales de color amarillo.","No viven en grandes profundidades como mucho a 20m, aunque pueden llegar a verse alguno a 70m. Se mueven por zonas rocosas y de arena cercanos a la costa.",Se alimentan principalmente de algas (caulerpa taxifolia) y plantas y ocasionalmente de pequeños invertebrados.,"Suelen formar grupos con lisas y sargos o demás miembros de su misma especie, no son especialmente asustadizos. La ingesta de su cabeza puede provocar efectos alucinógenos.",15cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/sarpa_salpa.jpg
"Chanquete, Jonquillo",Aphia Minuta,Es un pez de dimensiones minúsculas (alrededor de los 3-4cm) tiene un aspecto frágil ya que su cuerpo es alargado y transparente con un tono rojizo.,"Nada en grandes bancos en profundidades que van desde los 5 hasta los 80 metros, predominan en zonas estuarias.","Se alimenta de pequeñas larvas, crustáceos y zooplacton","Forman impresionantes bancos, a menudo junto a sardinas, son muy apreciados culinariamente.","('',)",https://pecesmediterraneo.com/wp-content/uploads/2021/01/aphia_minuta_1.jpg
Boga,Boops Boops,"Cuerpo alargado, y con cierto volumen tiene ojos grandes y un color azulado o plateado, destacan sus líneas horizontales en los laterales de color dorado con una mancha oscura en la base de la aleta pectoral, su longitud común está alrededor de los 20cm.",Viven entre la superficie y los 300m de profundidad.,Se alimentan principalmente de algas y crustáceos.,Forman grandes bancos y diariamente efectúan desplazamientos verticales del fondo a la superficie.,11cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/boops_boops.jpg
Sardina,Sardina Pilchardus,"Cuerpo alargado y de forma cilíndrica, sus mandíbulas tienen la misma longitud que su cabeza, no pasan de los 20 cm de longitud. El dorso tiene una coloración azul verdosa, mientras el lateral y la parte ventral es plateada, además presentas una serie de puntos oscuros alineados horizontalmente en la linea que separa la tonalidad del dorso con el resto.","Especie pelágica, que se agrupa en grandes bancos, y viven entre la superficie y los 150 metros.","Tiene preferencia por animales invertebrados tipo crustáceo planctónicos y fitoplancton, también consume otros peces de pequeño tamaño. Aunque se trata de una especie filtradora.","Son peces gregarios que se agrupan en inmensos bancos, en primavera se acercan a la costa y cuando descienden las temperaturas migran a aguas abiertas.","('',)",https://pecesmediterraneo.com/wp-content/uploads/2021/07/sardina_pilchardus_3.jpg
Alacha de Madeira,Sardinella Maderensis,"Cuerpo alargado, tiene una aleta pectoral superior de color blanco, la parte superior suele tener un color azul, pueden alcanzar hasta los 37cm de largo.",Les gustan las aguas cálidas y se pueden encontrar hasta en 80m de profundidad.,"Se alimenta de una variedad de pequeños invertebrados planctónicos, larvas de peces y fitoplancton.",Suelen forman bancos en zonas cerca de la costa y son peces migratorios.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/sardinella_maderensis.jpg
Alacha,Sardinella aurita,"Cuerpo alargado, tiene una aleta en la parte superior, es de color azuloso o verdoso que se enfatiza en su parte superior, su boca tiene una orientación hacia arriba, puede medir hasta 30cm.",No le gustan las aguas frías teniendo predilección por zonas costeras e incluso puertos.,"Se alimenta elementalmente de plancton y ocasionalmente carroña, a menudo es usado como cebo en la pesca.","A finales de verano se acercan en grandes bancos a la costa, en invierno vuelve a los fondos marinos.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/sardinella_aurita.jpg
Boquerón,Engraulis Encrasicolus,"Cuerpo alargado de unos 15-20cm de longitud, tiene el morro superior puntiagudo y más prominente que el inferior y una boca grande, sus ojos son relativamente grandes al respecto de su cabeza ocupando la mayor parte de esta, su coloración es verdosa oscura en el dorso con una banda azul marino que separa a una coloración mas plateada en los lados.",Es una especie pelágica que se encuentra en grandes bancos entre la superficie y los 150 metros.,Se alimenta de plancton y es una especie muy valorada a nivel comercial,"Son peces gregarios, forman bancos y realizan migraciones, a menudo penetran en estuarios","('',)",https://pecesmediterraneo.com/wp-content/uploads/2021/07/engraulis_encsasicolus_1.jpg
Capellán,Trisopterus minutus,"Cuerpo alargado, tiene una característica joroba encima de la cabeza, su boca es pequeña es de color marrón, puede llegar a medir 26cm de longitud.","Normalemente se encuentra en profundidades que van desde los 15 a los 200 metros, son bentopelágicos.",Comen crustáceos y pequeños peces.,No son migradores.,11cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/trisopterus_minutus_2.jpg
Roncador,Pomadasys Incisus,"Cuerpo oblongo y comprimido, boca en punta pequeña, cola azulada, su color es plateado-amarillento.","Viven sobre fondos rocosos, zonas abruptas y arenosos entre los 5 y 60 metros de profundidad.",Se alimentan principalmente de pequeños invertebrados.,"Forman inmensos bancos de casi un millar, emiten sonidos que se asemejan a los ronquidos. Por la noche se dispersan.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/pomadasys_incisus_3.jpg
Merlo,Labrus Merula,"Cuerpo alargado con su parte superior ligeramente cóncava, y vientre más recto, de color muy variable, marrón, verde, azul oscuro… aunque sus aletas tienen siempre un color azul cielo. Su tamaño no suele superar los 45cm.","Son bentónicos, viven sobre suelos rocosos con vegetación marina en profundidades de no más de 50m y normalmente están en cuevas o cavidades.","Es carnívoro y se alimenta de crustáceos, moluscos, gusanos marinos o equinodermos. Se reproduce sobre todo en invierno.","Los adultos son solitarios, algo curiosos pero si se asustan se introducen en cuevas o agujeros.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/Labrus-Merula.jpg
"Griva, Tordo verde, Bodión verde",Labrus Viridis,"Cuerpo y cabeza alargados, su cuerpo está cubierto de pequeñas y multitudinarias manchas blancas, su longitud va de los 35 a los 50cm. Dependiendo de su edad van de tonalidades verdosas a más marrones.","Suelen vivir sobre praderas de posidonia y en profundidades que van desde los 2 hasta los 50 metros, los ejemplares de más tamaño viven en fondos rocosos a más de 15m de profundidad.","Se alimenta de crustáceos, moluscos, gusanos marinos o equinodermos. Nace siendo hembra y se convierte en macho cuando es adulto.",Nadan lenta y suavemente entre algas y son peces solitarios.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/labrus_viridis_2.jpg
Gallito de Rey,Labrus Bimaculatus,"Es un pez de cuerpo alargado y comprimido lateralmente. Tiene una cabeza larga, no muy alta, y un morro puntiagudo, boca pequeña. La aleta caudal es compacta y de silueta en curva. La coloración es diferente en machos y hembras. Así, las hembras son de color rosado amarillento uniforme. Los machos tienen la cabeza, el dorso y la cola de color azul con líneas verdosas. La parte ventral es amarilla o rosada, así como la parte superior trasera.","Vive sobre fondos coralígenos rocosos con algas y praderas marinas y en una profundidad no mayor a 200m. Algunos, durante el verano, suben a la superficie. No suelen estar muy cerca de la costa.","Se alimenta de crustáceos, moluscos, gusanos y algunos peces pequeños.","Nadan durante el día y se refugian en huecos y cuevas, son muy territoriales.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/labrus_bimaculatus.jpg
"Bodión, Tordo",Symphodus Tinca,"Es un pez de cuerpo alargado. Tiene una cabeza larga, y afilada, y un morro puntiagudo, boca pequeña. Es de color marrón o verdoso con tiras de manchas rojizas y una cola compacta de color azul. Su longitud está alrededor de los 30cm.",Vive en fondos rocosos o en posidonia entre la superficie y los 50m de profundidad.,"Son carnívoros, comen invertebrados, erizos de mar, gusanos y pequeños crustáceos, como gambas y cangrejos.",Los machos son bastante territoriales y se posan a menudo sobre rocas cerca del lugar donde viven.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/symphodus_tinca_2.jpg
Tordo de 5 Manchas,Symphodus Roissali,"Es un pez bastante pequeño, no más de 15cm de longitud, cuerpo comprimido, tiene pequeñas manchas marrones, amarillas y azulonas que lo cubren, un vientre de color blanco y un lomo más marrón.",Vive sobre rocas superficiales a poca profundidad y es muy abundante.,"Se alimenta de crustáceos, moluscos, erizos pequeños e hidrozoos.","Es muy activo y nervioso, nada revoltosamente entre las rocas.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/symphodus_roissali.jpg
Porredana,Symphodus Melops,"Tiene el cuerpo alargado, oblongo y comprimido. Las hembras tienen colores base verdes, pardos o pardos-verdes. Los machos son más vistosos, con colores base pardo-rojos, con la cabeza decorada con líneas de color rojo. Tiene un tamaño no superior a 28cm.","Especie bentónica. Viven en el litoral, en las zonas de fondos rocosos y también en las praderas de algas marinas, hasta los 50 metros de profundidad.","Alimentación muy variada y carnívora, comen moluscos, crustáceos, gusanos, etc.","Son muy activos, y suelen formar pequeños bancos. Normalmente nadan muy cerca del fondo.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/symphodus-melops_3.jpg
Tordo Ocelado,Symphodus Ocellatus,"Cuerpo alargado y color marrón con toques amarillentos o naranjas en las hembras y color azul con toques rojizos en machos, son de pequeño tamaño, entre 9 y 12 cm. Tienen un mancha muy característica en la abertura de las bránqueas.","Vive normalmente cerca de rocas y zonas con algas, en profundidades que normalmente no rebasan los 20m.","Alimentación variada y carnívora, comen moluscos, crustáceos, gusanos, etc.",Se mezclan con otros peces de similar tamaño y revolotean en rompientes de olas.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/symphodus_ocellatus.jpg
"Peto, Tordo",Symphodus Cinereus,"Pez de cuerpo un poco ovalado y poca longitud, no más de 16cm, de color marrón y vientre más blanco. Otros son de un marrón más oscuro con tonos azulados en sus aletas.",Reside habitualmente en praderas de posidonia y fondos rocosos con vegetación en hasta 30 m de profundidad.,"Comen gambas, crustáceos y moluscos.",Los machos construyen nidos en la arena cubriéndolos de plantas o algas marinas.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/symphodus_cinereus.jpg
Tordo Rojo,Symphodus Mediterraneus,"Pez de poco tamaño (unos 15cm), cuerpo alargado y algo ovalado con boca pequeña, tiene un color marrón rojizo con una mancha negra en la base de la cola y una amarillenta en la base de sus aletas pectorales.",Reside en fondos de roca entre 1 y 50m de profundidad también en praderas de posidonia.,"Comen moluscos, erizos, briozoos y pequeños erizos.",A medida que avanza su edad van desplazándose desde la costa hasta zonas más profundas.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/symphodus_mediterraneus.jpg
Tordo Picudo,Symphodus Rostratus,"Pez de entre 10 y 13cm de longitud, cuerpo alargado destaca por tener la cabeza alargada terminada en unos labios muy finos y orientados hacia arriba, es de color amarillento, marrón o verdoso brillante con topos por su cuerpo.",Reside en fondos de roca donde pueda esconderse y también cerca de posidonia.,"Comen pequeños crustáceos, moluscos, equinodermos, etc… son carnívoros.",Es un pez muy solitario.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/symphodus_rostratus.jpg
Llambrega,Symphodus melanocercus,"Cuerpo alargado con boca pequeña y ojos grandes, su color es variable, las hembras y crías son de color beige claro bastante uniforme y aleta caudal negra, mientras los machos adultos poseen el cuerpo gris oscuro con la parte inferior más clara y con una serie de motas azul metálico. Las aletas están manchadas del mismo azul metálico característico. No mide más de 14cm.","Especie bentónica, vive sobre piedras con algas, cavidades y cerca de la posidonia a no más de 30 metros de profundidad.","Es un desparasitador, se alimenta de los parásitos de estos",A menudo desparasitan en grupo a un mismo pez y uno solo puede llegar a desparasitar hasta 100 peces en alrededor de 1 hora.N/C,"('',)",https://pecesmediterraneo.com/wp-content/uploads/2020/09/symphodus_melanocercus_1.jpg
"Fredy, Pez verde",Thalassoma Pavo,"Su cuerpo es alargado y de líneas suaves, cabeza ovalada y boca pequeña. De color chillón, se entremezcla el verde rojo y amarillo con líneas azulosas verticales en el lomo, no miden más de 25cm.","Es una especie bentónica, litoral y frecuenta los fondos rocosos o praderas de Posidonia oceánica. Vive entre los 0 y 20 metros.","Comen pequeños crustáceos y moluscos.
Es un pez Hermafrodita, nace siendo hembra y posteriormente se transforma en macho.","Se mueve muy rápido y es muy activo, no suele estar en reposo.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/thalassoma_pavo.jpg
Doncella,Coris Julis,"Cuerpo alargado y fino pequeña cabeza puntiaguda, las hembras son marrones un poco anaranjadas y los machos son verdosos con una línea en ese anaranjada. No son mayores de 25cm de longitud.",Se localiza en fondos de roca hasta los 50m de profundidad.,"Comen erizos, poliquetos, crustáceos, gasterópodos, etc…","Las hembras forman grupos para alimentarse, mientras los machos van en solitario, por la noche se entierran en la arena.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/coris_julis.jpg
Raor,Xyrichthys Novacula,"Pez estirado, su cabeza es la parte más alta y su cuerpo va en decrecimiento, tiene un morro pronunciado y la boca está en la parte inferior, con dientes punzantes. Los machos son verdosos, mientras que las hembras tienen un color rojizo-anaranjado. Hasta 25cm de longitud.","Vive en fondos arenosos. Cerca del litoral, entre los 5 y los 50 metros de profundidad.",Se alimentan de invertebrados y pequeños peces que se encuentran en el fondo.,Cuando se ve en peligro se entierra en la arena o baja a las profundidades.,Sujeto a veda,https://pecesmediterraneo.com/wp-content/uploads/2019/03/xyrichthys_novacula.jpg
Castañuela,Chromis Chromis,"Se trata de un pequeño pez de entre 8 y 10 cm, cuerpo ovalado y aplanado, cabeza pequeña y boca pequeña, su cola está bifurcada, es de color marrón oscuro e incluso negro, su vientre es más claro.",Vive en zonas costeras normalmente no a más de 35m son más habituales en los 15m de profundidad.,Se alimentan de plancton e invertebrados.,"Suelen nadar en bancos grandes pero poco densos, durante el día son muy activos y por la noche reposan en el fondo.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/chromis_chromis.jpg
Tres Colas,Anthias Anthias,"Cuerpo ovalado y plano con una larga aleta en el vientre, cola bifurcada, suele medir unos 18cm, su cuerpo es de color rojizo-anaranjado.","Suele habitar en profundidades que van entre los 30 y 50 metros, en entradas de cavidades rocosas, cuevas, grietas, esponjas, etc…","Es un pez carnívoro, come crustáceos y pequeños peces o capturando plancton.","Forman grupos en la entrada de cuevas donde viven, normalmente, un macho dominante y varias hembras, se pueden mantener suspendidos en el agua casi sin aletear.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/anthias_anthias_1.jpg
Pez mula,Syngnathus Acus,"Pez de cuerpo alargado y fino en forma de aguja, suele medir alrededor de 25 cm, es de la familia de los caballitos de mar, tiene un morro alargado en forma de trompeta, su color es amarillo pardo con tonos verdosos o marrones, tiene una ligera joraba justo detras de los ojos.","Pez bentónico, vive pegado al fondo marino, es común verlo entre los 15 y 20 metros de profundidad sobre posidonia.",Se mimetiza entre la posidonia para cazar crustáceos de los que se alimenta succionándolos con su peculiar boca.,"Es una especie solitaria, a menudo se pesca con fines decorativos para acuarios de agua salada, al igual que el caballito de mar.","('',)",https://pecesmediterraneo.com/wp-content/uploads/2021/01/syngnathus_acus_3.jpg
Caballito de mar moteado,Hippocampus guttulatus,"Cuerpo aplanado y esquelético, en forma de interrogante, hocico estirado, su color es amarillento o verdosos y miden entre 15 y 20 cm.",En profundidades a partir de los 10m sobre fondos de algas.,Comen pequeños crustáceos que succionan con la boca.,Suelen nadar entre las algas en posición vertical lo que les ayuda a mimetizarse.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/hippocampus_guttulatus.jpg
