name,scientific_name,description,location,other_data,behaviour,min_size_for_catch,image
Llampuga,Coryphaena hippurus,"Cuerpo muy alargado, destaca por su gran cabeza y frente redondeada, su color es azul y amarillento, sus aletas pectorales son negras, tienen una longitud alrededor de los 100cm.","Frecuenta la superficie marina, entre 5m y 10m de profundidad, y aunque a veces están cerca de la costa es más probable encontrarlas en alta mar.","Su alimentación es muy variada, todo tipo de peces, zooplancton e incluso crustáceos y calamares.",Forman bancos y es una especie migratoria.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2020/09/llampuga.jpg
"Golfas, Anjova, Pejerrey",Pomatomus Saltator,"Su cuerpo es proporcionado con una cola ancha bifurcada, de color blanco en la zona inferior que progresivamente adquiere un color más grisáceo-azulado en la zona superior. Su tamaño va desde los 12cm a grandes dimensiones pudiendo llegar incluso a pesar 9kg.","En épocas estivales se acercan algo a la costa, la cual abandonan periódicamente para migrar por mar abierto formando pequeños bancos.",Son muy agresivos y unos depredadores voraces a la caza de alimento.,Se pueden encontrar en zonas alejadas de playa a unos 300m y sobre todo a la caída del sol es cuando más se muestran. Se mueven en pequeños bancos.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/pomatomus_saltator.jpg
Chucha,Spicara maena,"Cuerpo alto, comprimido y alargado, larga aleta dorsal, color de tonos azulados mezclado con grises y verdes, tiene manchas azules en cuerpo y aletas.","Frecuentan aguas costeras y hasta los 100m de profundidad, le gustan los fondos blandos y praderas de posidonia.",Se nutren de zooplancton y algún animal bentónico.,Suelen formar densos bancos.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/spicara_maena_2.jpg
"Gerret, Zerro",Spicara Smaris,"Cuerpo alargado y cabeza reducida, suele medir unos 20 cm como máximo, su coloración en la parte superior tiene lineas marrones que se mezclan con otras grisáceas, su vientre es de color plateado. Tiene una peculiar mancha negra al costado de la aleta pectoral.",Vive sobre fondos rocosos o lechos de posidónea a una profundidad máxima de 140 metros. En la desovación excavan nidos en fondos fangosos.,Su alimentación se basa en pequeños invertebrados marinos.,"Al final del período de incubación, los machos pierden su coloración, se agrupan en grandes cardúmenes y se trasladan a los lugares de alimentación. Su carne es bastante apreciada culinariamente.","('',)",https://pecesmediterraneo.com/wp-content/uploads/2021/07/spicara_smaris_3.jpg
Lisa,Chelon Labrosus,"Cuerpo alargado en forma de cilindro, pueden medir hasta 90cm, color grisáceo azulado, su cabeza es algo aplanada en la parte superior. Tiene 2 aletas dorsales separadas entre sí.","Viven sobre suelos rocosos en poca profundidad (no más de 20m), se ven mucho en zonas costeras y puertos.","Algas, detritos, pequeños invertebrados y carroña es su alimento.",Suelen moverse entre cavidades y agujeros o cerca de rocas alimentándose.,16cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/chelon_labrosus_2.jpg
Galupe,Liza Aurata,"Cuerpo alargado y cilíndrico, suele medir unos 30cm, una mancha negra en el pectoral y una dorada en la cabeza son sus señas más características.",Frecuenta la superficie marina.,"Se alimenta de pequeños organismos, detritos, insectos y plancton.",Pez sociable que va en grupo.,16cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/liiza_aurata.jpg
Mujol,Mugil Cephalus,"Cuerpo alargado y de forma cilíndrica, boca pequeña y redondeada, es de color plateado con motas de amarillo pardo y vientre blanquecino, puede llegar a medir hasta 75 cm de longitud desde los 30cm de los más pequeños.","Vive cerca de la costa, en grupo sobre fondos arenosos o fangosos.","Su alimentación está basada en Zooplacton, detritus y organismos bentónicos y los adultos de algas.","Tiene hábitos diurnos, algunos adultos pueden llegar a vivir en aguas dulces.","('',)",https://pecesmediterraneo.com/wp-content/uploads/2021/01/mugil_cephalus_2.jpg
"Jurel, chicharro, sorell",Trachurus Trachurus,"Cuerpo un poco comprimido, no mide más de 35cm de longitud, tiene 2 largas aletas laterales puntiagudas, una cabeza de forma afilada, tiene una característica línea lateral, es de color gris o verde azulado.","Vive en hasta 200m de profundidad y sube a la superficie para alimentarse, también se acercan a la costa para poner sus huevos.",Se alimentan de crustáceos principalmente y se reproducen en verano.,"Suelen formar cardúmenes cuando son jóvenes, los mayores nadan en las profundidades.",15cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/trachurus_trachurus_2.jpg
Jurel Mediterraneo,Trachurus mediterraneus,"Cuerpo alargado y comprimido, mandíbula inferior prolongada, característica línea lateral, la parte superior de cuerpo y cabeza oscurecen a casi negro o de gris a verde azulado; los otros 2 tercios del cuerpo suelen ser más pálidos; aleta caudal amarillenta. Longitud alrededor de 30cm.","Vive en hasta 200m de profundidad y sube a la superficie para alimentarse, también se acercan a la costa para poner sus huevos.",Se alimentan de crustáceos principalmente y se reproducen en verano.,"Suelen formar cardúmenes cuando son jóvenes incluso con otros peces, los mayores nadan en las profundidades.",15cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/trachurus_mediterraneus.jpg
Lubina,Dicentrarchus Labrax,"Cuerpo alargado y morro pronunciado y elevado, su cuerpo es de color gris más tirando a plateado, mide entre 60 cm y 90 cm en edad adulta, su cola está ligeramente dividida.","Cerca de la costa o sobre bancos de arena, en zonas portuarias o rocosas, entre la superficie y los 30m de profundidad.","Depredador, sus presas son crustáceos, gusanos marinos o peces más pequeños, se reproducen en invierno.",Nada constantemente sin detenerse en el fondo.,25cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/dicentrarchus_labrax.jpg
Palometa,Trachinotus ovatus,"Cuerpo en forma ovalada, su aleta caudal es su rasgo más característico al estar claramente bifurcada, su vientre es de color plateado, mientras que en la parte superior predomina un color más oscuro algo verdoso o azulado, pueden llegar a medir hasta 70 cm de longitud, aunque raramente superan los 30cm.","Vive en hasta 200m de profundidad y sobre fondos arenosos, en verano frecuentan la costa a pocos centímetros de la superficie.","Se alimentan de organismos bentónicos, y de pequeños alevines, es un depredador voraz.",Son muy rápidos y forman bancos cerca de la costa.,16cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/trachinotus_ovatus_2.jpg
Palometón,Lichia Amia,"Cuerpo alargado y ciertamente comprimido, tiene una característica línea lateral serpenteante, tiene color verdoso o gris, su aleta caudal está bifurcada, pueden llegar a medir hasta 2 metros de longitud, aunque su tallaje normal ronda los 50cm – 1 metro.","Vive por la costa y en hasta 50m de profundidad y sobre fondos arenosos, en verano frecuentan la costa a pocos centímetros de la superficie.",Se alimentan pequeños peces y crustáceos.,Son muy rápidos y tienen una gran vista.,60cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/lichia_amia.jpg
"Pez Limón, Verderol, Serviola",Seriola Dumerili,"Cuerpo ovalado y alargado, de color más pálido en el vientre y verdoso-amarillento en la mayor parte del cuerpo o gris oseáceo y a veces el reflejo de la luz hace que produzca reflejos brillantes, puede llegar a medir hasta 2 metros.","Dependiendo de la estación varían su localización, mientras que en invierno bajan a las profundidades de hasta 70m, es en verano donde se acerca a costas rocosas y se hace más visible debido a que sube a la superficie.","Es un cazador activo de pequeños peces, crustáceos o cefalópodos.","Forman bancos y suelen ser muy curiosos, nadan a media profundidad y de forma constante, no muy apegados a las rocas.",30 cm en época de veda (islas baleares).,https://pecesmediterraneo.com/wp-content/uploads/2019/03/seriola_dumerili.jpg
"Blue Runner , Jurel Tropical",Caranx Crysos,"Puede medir hasta 70 cm de longitud, su cuerpo es alargado y comprimido, presenta una desarrollada mandíbula inferior. Es de color plateado o azul oscuro, su cola bifurcada presenta unas manchas negras en las puntas.","Es un pez pelágico, nada en mar abierto junto a medusas, barcos, tiburones o rayas.",Se alimenta de pequeños peces e invertebrados.,"Es un pez muy nervioso y activo, de movimentos rápidos a media agua.","('',)",https://pecesmediterraneo.com/wp-content/uploads/2023/09/blue-runner-1.jpg
Atún Rojo,Thunnus thynnus,"Cuerpo voluminoso en forma de torpedo, predomina el color azul, mide entre 2 y 3 metros, pudiendo llegar hasta los 4,5 metros",Vive en alta mar en profundidades entre 0 y 100 metros,Son depredadores y se alimentan de peces que forman bancos.,"Son migratorios, atacan a bancos de peces.",115cm,https://pecesmediterraneo.com/wp-content/uploads/2020/09/thunnus_thynnus_4.jpg
"Bonito del Norte, Atún blanco, Albacora",Thunnus Alalunga,"Cuerpo voluminoso y fusiforme, ojos relativamente grandes, destacan sus aletas pectorales muy largas, el dorso es de color oscuro mientras que el vientre es blanco o plateado, miden entre 90 y 140 cm.","Los más jóvenes se mueven por poca profundidad mientras los adultos pueden alcanzar los 200m de profundidad, es una especie migratoria.","Se alimentan de peces de menor tamaño, moluscos y calamares, son cazadores.",Tienen una anatomía adaptada al nado debido a las grandes migraciones que efectúan.,"('',)",https://pecesmediterraneo.com/wp-content/uploads/2020/09/Thunnus-Alalunga_3.jpg
Delfín Listado,Stenella Coeruleoalba,"Con forma típica de delfín se caracteriza por su color blanco o rosa en su parte inferior, así como una serie de bandas de color azul oscuro que cubre su cuerpo, al igual que su ocico y parte trasera. Pueden llegar a medir 2,6 metros y pesar hasta 160 kg.","Esta especie se encuentra principalmente en aguas distantes de la costa, generalmente a partir de unas 10 millas de distancia, y siempre a profundidades superiores a los 100-200 metros. Sin embargo, en áreas con una costa más escarpada y una plataforma continental más estrecha, como la Costa Brava, es común avistarla a corta distancia de la playa, especialmente durante la primavera, cuando sigue los bancos de peces azules.","Tiene una alimentación variada, es depredador y preferentemente come calamares, agujas, merluzas y cefalópodos.","Nada en grupos con sus semejantes cerca de la superficie, se reproducen en los meses de septiembre-octubre.","('',)",https://pecesmediterraneo.com/wp-content/uploads/2023/09/Stenella-Coeruleoalba.jpg
Delfín Común,Delphinus Delphis,"Es un delfín esbelto con un hocico más corto en comparación con el delfín común costero (Delphinus capensis). Su coloración es similar a Delphinus capensis, con una parte dorsal de tono gris oscuro y una parte ventral blanca, mientras que los lados muestran un tono gris claro desde la cabeza hasta la cola. Estos delfines pueden alcanzar longitudes de hasta 2.4 metros y un peso máximo de 110 kg.","Se encuentran tanto en aguas costeras como a distancias considerables de la costa. Aunque mantienen una distribución estable en algunas regiones, muchas poblaciones se desplazan estacionalmente y experimentan picos locales de abundancia en distintas épocas del año. Suelen habitar aguas con temperaturas superficiales que oscilan entre los 10 ºC y 28 ºC.","La alimentación del delfín común se basa en calamares y peces pequeños que forman bancos, alimentándose de noche y descansando por el día.","Suelen ir en grupos de unos 30 semejantes, no poseen un buceo de mucha duración en relación a otros delfines, llegando como máximo a una profundidad de 70 metros.","('',)",https://pecesmediterraneo.com/wp-content/uploads/2023/09/Delphinus-delphis.jpg
Delfín Mular,Tursiops Truncatus,"Especie de tamaño medio, cuerpo robusto, hocico prominente pero corto y fuerte, con una clara separación del melón. Aletas dorsal y pectorales falciformes. Color gris en el dorso y los flancos, más claro en la zona ventral, con variaciones geográficas. Tamaño de 2,5 a 3,8 m con diferencias sexuales leves y peso corporal de hasta 635 kg.","Esta especie de delfín se encuentra en poblaciones litorales y pelágicas, ocupando tanto la plataforma continental como las aguas oceánicas. Se adapta a diversos hábitats marinos, incluyendo estuarios y rías. Su presencia es común en las costas españolas, pero las poblaciones son actualmente pequeñas y fragmentadas, a menudo relacionadas con actividades humanas. Además, son conocidos por su adaptabilidad en cautiverio, aunque enfrentan amenazas como la caza, capturas accidentales y contaminación del agua.","La alimentación de estos delfines es principalmente costera, centrándose en una variedad de peces e invertebrados que se encuentran en las zonas litorales y sublitorales. Sin embargo, aquellos que se alejan de la costa suelen incluir peces mesopelágicos y calamares oceánicos en su dieta. Además, lo que comen puede variar según la disponibilidad local de presas.","Los delfines mulares son veloces nadadores que alcanzan hasta 35 km/h. Necesitan respirar cada 5-8 minutos, lo que resulta en un sueño ligero. Viven en grupos llamados vainas, con hembras y jóvenes en una vaina y machos en grupos pequeños. Son amistosos y curiosos, interactuando con humanos y, en ocasiones, rescatando a personas en peligro. Sin embargo, también pueden ser depredadores agresivos durante la temporada de apareamiento.","('',)",https://pecesmediterraneo.com/wp-content/uploads/2023/09/Tursiops-Truncatus.jpg
"Pintarroja, Gató",Scyliorhinus Canicula,"Cuerpo alargado y afilado, mide hasta 1 metro de longitud, tiene una cabeza aplanada, su cola es puntiaguda, es de coloración diversa, lomo marrón y vientre blanco con manchas negras.",Vive en fondos fangosos o de gran vegetación entre los 30m y los 150m de profundidad.,Son carnívoros y se alimentan preferentemente de otros peces.,Su forma de cazar consiste en atraer a las presas con un lóbulo que hace la función de cebo y atrapar a los peces que se acercan con su amplia boca.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/scyliorhinus_canicula.jpg
Musola,Mustelus Mustelus,"Cuerpo alargado y afilado de color gris, tiene 2 aletas dorsales, aunque pueden alcanzar los 2 m de longitud, su tamaño máximo usual es de 150 cm. Es un tiburón y su cabeza tiene un morro puntiagudo.",Suele encontrarse en las zonas litorales a poca profundidad.,"Son carnívoros y se alimentan preferentemente de otros peces, crustáceos y moluscos, son depredadores.",Forma grandes grupos y cazan por la noche.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/mustelus_mustelus.jpg
Tintorera,Prionace Glauca,"Es un tiburón de cuerpo alargado y hocico en forma de cono, de aletas pectorales alargadas, es de color azul intenso con panza blanca y unas manchas negras en las puntas de las aletas, su mandíbula puede proyectarse hacia adelante para facilitar su temible mordedura. Suelen medir alrededor de 2,5 metros de longitud y pesar unos 80Kg.","Es pelágico le gusta nadar en la superficie del mar abierto y ocasionalmente se acerca a zonas costeras, suele buscar aguas frias de menos de 21º. Es una especie migrante.","Se alimenta de peces y calamares mayormente, es un depredador.","A veces se acerca a las costas a curiosear aunque generalmente nada en aguas abiertas siguiendo el rastro de bancos de sardinas, es peligroso para el hombre. Tiene más actividad durante la noche.","('',)",https://pecesmediterraneo.com/wp-content/uploads/2021/07/prionace_glauca_1.jpg
Melva,Auxis Thazard Thazard,"Cuerpo alargado en forma de cilindro, 2 aletas superiores la primera más elevada y grande, la parte superior del cuerpo es azulada con una serie de líneas sinuosas que lo recorren de color oscuro, vientre blanco, pueden llegar a medir hasta 68cm.","('',)","Es una especie cazadora, se alimenta en su mayoría de pequeños peces.",Suele formar grandes cardúmenes para desplazarse,"('',)",https://pecesmediterraneo.com/wp-content/uploads/2020/09/auxis_thazard_1.jpg
Bacoreta,Euthynnus alletteratus,"Cuerpo alargado y sin escamas en forma de proyectil, peciforme, muy similar al atún rojo, dorso azulado que tiende al plateado en sus extremos, su aleta caudal es de forma de media luna, en su vientre se encuentran unas características manchas oscuras. Puede sobrepasar el metro de longitud en su estado adulto.","Es pelágico, y se concentra en la aguas cálidas de la costa, cuando cazan se suelen juntar con gaviotas o aves marinas que también están alimentándose.",Es un depredador de pequeños peces como anchoas o sardinas. Ocasionalmente se alimenta de crustáceos o calamares.,Forma cardúmenes en aguas costeras y habitan desde la superficie hasta los 150 metros de profundidad.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/07/Euthynnus-alletteratus_2.jpg
"Estornino, Makarela",Scomber japonicus,"Tiene el cuerpo alargado y ojos grandes, su lomo superior es de color azul verdoso con motas o manchas oscuras que también se pueden ver con menos intensidad en su vientre, mide alrededor de 30 cm en su etapa adulta.","De tipo pelágico, habita los fondos marinos (hasta 200m.) en invierno y en verano se acerca a las costas y la superficie.",Se alimenta mayormente de crustáceos y pequeños moluscos.,Realiza largas migraciones y es un pez gregario.,18 cm,https://pecesmediterraneo.com/wp-content/uploads/2019/07/scomber_japonicus_1.jpg
"Caballa , Verdel",Nombre científico,"Cuerpo alargado en forma de proyectil, los adultos pueden llegar a medir hasta 50 cm, de vientre más claro y verdoso en la parte superior irrumpidas con lineas sinuosas oscuras.","Es pelágico y de carácter migratorio, en estaciones frías permanece en el fondo hasta los 180m. en estaciones cálidas sube a la superficie y se acerca a las costas.",Se alimenta mayormente de crustáceos y pequeños moluscos.,"Es un pez muy veloz, realiza grandes migraciones en grupo.",18 cm,https://pecesmediterraneo.com/wp-content/uploads/2019/07/scomber_scombrus_2.jpg
"Merluza, pescadilla, pijota",Merluccius merluccius,"Cuerpo alargado con boca grande y dientes afilados, su coloración es gris oscura, suele medir entre 40 y 70 cm, pudiendo llegar a los 120cm.","En fondos marinos entre 30 y 500 metros de profundidad,","Es un depredador voraz que se alimenta de peces, calamares y zooplancton",Durante el día reside en las profundidades y se eleva durante la noche.,20cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/merluccius_merluccius_2.jpg
Espetón,Sphyraena Sphyraena,"Tiene el cuerpo muy alargado y fino en forma de aguja, una gran boca puntiaguda, color gris azulado, sobre su lomo tiene bandas verticales oscuras, puede llegar a medir hasta 1m. de longitud.","En el litoral en profundidades que van desde los 5m hasta los 100m, vagan sobre fondos arenosos o en formaciones rocosas sumergidas.","Son depredadores en grupo que se alimentan de peces, pulpos, camarones, etc…",Suelen formar bancos y nadar cerca de la superficie para cazar y tener una visión “aérea” de sus presas para sorprenderlas.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/sphyraena_sphyraena.jpg
"Espetón Gigante, Barracuda",Sphyraena Viridensis,"Tiene el cuerpo muy alargado, una gran boca puntiaguda, color gris azulado, sobre su lomo tiene bandas verticales oscuras, aletas de color amarillento, puede llegar a medir hasta 1,3m de longitud.",Los jóvenes pueden verse en zonas costeras y rocosas mientas los adultos son más solitarios y vagan por aguas abiertas.,"Son depredadores en grupo que se alimentan de peces, cefalópodos, crustáceos. Su edad máxima es de 8 años.",Suelen formar bancos numerosos cuando son jóvenes.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/sphyraena_viridensis_2.jpg
Aguja,Belone belone,"Cuerpo muy alargado, con la boca en forma de pico, puntiaguda, es de color gris, su longitud máxima es de 45cm.","Vive cerca de la superficie, en aguas costeras.",Se alimenta de peces pequeños.,"Son migratorios, y se mueven en grandes bancos, si se ven en peligro pueden dar saltos por encima del agua.",25cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/belone_belone_1.jpg
Merillo,Serranus Hepatus,"Su cuerpo es alargado y mide hasta 13cm, tiene 5 características bandas verticales oscuras que atraviesan su cuerpo claro.","Vive sobre fondos de arena, fango o praderas entre los 3 y los 10 metros.",Son carnívoros y se alimentan de pequeños invertebrados y peces.,"Como los de su familia, son territoriales.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/serranus_hepatus.jpg
"Vaqueta, Vaca",Serranus Scriba,"Cuerpo ligeramente alargado, boca extensible, de color claro atravesado por bandas oscuras no uniformes, destaca una mancha difuminada azul en su vientre, boca extensible.","Vive entre rocas, arena y vegetación marina a poca profundidad no más de 30m.","Son carnívoros y se alimentan de moluscos, crustáceos y peces. Son hermafroditas.",Muy curiosos se quedan mirando de frente al submarinista.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/serranus_scriba.jpg
"Serrano, Cabrilla",Serranus Cabrilla,"Cuerpo alargado, puede llegar hasta los 40cm de longitud aunque lo standard es 15-20cm, es de color pardo-rojizo tiene unas líneas verticales más oscuras y en el vientre una línea más clara horizontal.","Se encuentran entre la superficie y los 500m, son frecuentes en fondos rocosos y arenosos o en la vegetación marina entre los 30 y 60 metros.","Son carnívoros, comen peces, gusanos, cefalópodos y crustáceos. Son hermafroditas.",Son poco miedosos y muy territoriales.,15cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/serranus_cabrilla_3.jpg
Mero,Epinephelus Marginatus,"Su cuerpo es alargado y voluminoso, tiene una cabeza grande y su mandíbula inferior es pronunciada, normalmente es de color marrón con manchas blancas puede llegar a medir hasta 150cm.","Vive en fondos rocosos escondidos en cavidades, grietas o, sobre todo, cuevas, normalmente en profundidades que van entre los 8 y 25 metros, llegando a poder vivir hasta los 200m.","Comen peces pequeños, cefalópodos y crustáceos y se reproducen en verano.",Si no han tenido mucho contacto hostil con el humano son muy tranquilos y confiados.,45cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/epinephelus_marginatus.jpg
"Mero Dorado, Falso abadejo",Epinephelus Costae,"Cuerpo alargado y voluminoso, su mandíbula inferior es prominente, tiene coloración marrón con franjas horizontales que atraviesan su cuerpo. Tienen una longitud de entre 70 y 100 cm.","En suelos rocosos mixtos con posidonia y arena cerca de la costa, normalmente entre los 10 y 50 metros de profundidad.","Come crustáceos, peces y cefalópodos. Es hermafrodita.","Es un poco asustadizo, se esconden raramente y nadan más alejados del fondo que los demás tipos de meros.",45cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/epinephelus_costae_3.jpg
"Abadejo, Gitano",Nombre científico,"Cuerpo fusiforme de color marronizo con irregulares manchas blancas, tiene una cabeza de tamaño grande al igual que su boca, cuya mandíbula inferior es destaca sobre el labio superior. A medida que se hacen más adultos se impone más el color marrón rojizo sobre el blanco. Alcanzan los 80 cm de longitud.
Localización
Suele predominar en las costas rocosas y espigones, pero también frecuenta con frecuencia praderas de posidonia e incluso fondos arenosos, desde 1 metro hasta los 200 metros de profundidad, a más adulto más profundidad.","('',)","Se alimenta de moluscos, espáridos y peces pasto, es depredador.",Son hermafroditas y en su época joven frecuentan espigones portuarios o zonas rocosas costeras.,"('',)",https://pecesmediterraneo.com/wp-content/uploads/2020/09/mycteroperca_rubra_1.jpg
Cherna,Epinephelus aeneus,"Cuerpo alargado y con cierto volumen, mandíbula inferior ligeramente más pronunciada y extensible. De color gris verdoso, pueden alcanzar el metro de longitud, siendo habitual ver sujetos de 60cm en su época adulta.","Prefiere habitar fondos arenosos a rocosos a diferencia de otras especies de su misma familia, nadan en profundidades que van desde los 20 m a los 200 m.",Se alimentan de otros peces de menor tamaño (sardinas) y ocasionalmente de crustáceos.,Efectúan migraciones estacionales y surcan sinuosamente fondos fangosos en busca de presas,45 cm,https://pecesmediterraneo.com/wp-content/uploads/2019/07/epinephelus_aeneus.jpg
"Corvallo, Corvall, Escorball",Sciaena Umbra,"Cuerpo alto, alargado y voluminoso, tiene el lomo curvado, cabeza relativamente pequeña con boca grande, su color es gris-marrón y algo reflectante, su cola es dorada, mide entre 33cm y 75cm.","Vive en fondos rocosos con cavidades y cuevas, también cerca de campos de posidonia, entre los 5 y 30m de profundidad, pudiendo llegar a verse hasta los 180 metros.","Es carnívoro y come peces, moluscos y crustáceos.","Vive en grupos de entre 5 y 30 individuos, durante el día suele estar cerca de su refugio.",30cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/sciena_umbra.jpg
"Verrugato, Reig",Umbrina Cirrosa,"Pez alargado de vientre plano y lomo arqueado, bastante voluminoso, tiene cabeza y boca pequeña, es de color azulado-metálico con motas. Pueden llegar a medir 1 metro.","Frecuenta fondos blandos, fangosos en zonas litorales y a muy poca profundidad.","Se alimenta de invertebrados bentónicos como poliquetos, crustáceos y moluscos.",Su actividad se centra en el día vagando por los fondos a poca profundidad.,15 cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/umbrina_cirrosa.jpg
"Brotola de Roca, mollera",Phycis Phycis,"Cuerpo muy alargado, tiene largas aletas dorsales y pelvianas que estiradas le dan aspecto de vela, su color es marrón. Normalmente miden alrededor de los 25cm.","Habitan en fondos duros y arenosos cerca de las rocas, a profundidades de entre 100 a 650 metros.",Comen invertebrados y peces pequeños.,"La mayor actividad la registran durante la noche, ya que durante el día viven escondidos entre las rocas.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/phycis_phycis_2.jpg
Ochavo,Capros Aper,"Pez pequeño de no más de 15cm, es de color rojizo y blanco con un cuerpo plano y comprimido, tiene ojos grandes, destaca por su morro de forma alargada.","Vive en fondos de roca, coral, fango o arena entre los 300 y 600m de profundidad.","Comen minúsculos invertebrados, crustáceos o moluscos.",Forman enormes bancos.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/capros_aper.jpg
Salmonete Real. Apogon.,Apogon Imberbis,"Cuerpo de color naranja o rosado, es un pez de poco tamaño, alrededor de los 10 cm, su cuerpo es rechoncho y tiene ojos grandes en proporción al mismo.","Viven cerca de la costa, normalmente en precipitaciones rocosas, aunque también pueden frecuentar fondos fangosos entre los 10 y 200m de profundidad.","Come larvas, huevos y crustáceos.",Suelen estar apostados en huecos o hendiduras que le proporcionen un rápido refugio si se ve amenazado.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/apogon_imberbis.jpg
Trompetero,Macroramphosus Scolopax,"Pez pequeño de no más de 15cm, es de color anaranjado y blanco con un cuerpo plano y comprimido, tiene ojos grandes y una pequeña cola de color amarillo, destaca por su morro de forma muy alargada y fina.","Vive en fondos de roca, coral, fango o arena entre los 20 y 500m de profundidad.",Comen minúsculos animales planctónicos.,"Los adultos habitan en el fondo, mientras que los más jóvenes cerca de la superficie.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/macroramphosus_scolopax.jpg
"Pez de San Pedro, Gallo de San Pedro",Zeus Faber,"Pueden llegar a medir unos 60cm. Su cuerpo es redondeado y aplanado, con una cabeza grande perfectamente alineada con su cuerpo. Su aleta dorsal está formada por espinas alargadas que destacan a modo de cresta. Su color es grisáceo con un cierto tono violeta y amarillo-dorado, con unas manchas oscuras.","Reside en fondos arenosos entre 10 metros y 50 metros, llegando a profundidades de hasta 200 m. También se puede encontrar en zonas rocosas o praderas submarinas.",Se alimentan de peces y alguna que otra vez de sepias o calamares.,"Pez poco sociable, van solos o en pequeños grupos, se puede encontrar acostado sobre rocas en las profundidades.",30cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/zeus_faber.jpg
