name,scientific_name,description,location,other_data,behaviour,min_size_for_catch,image
Pez Ballesta,Balistes Carolinensis,"Su cuerpo es ovalado y plano, tiene los ojos en una posición elevada, boca pequeña una aleta dorsal y anal grandes, y su cola tiene forma de media luna, suelen medir entre 30 y 40 cm. Color gris verdusco o azulado.","Viven en fondos rocosos, arrecifes y ruinas marinas entre los 15 y los 55 metros de profundidad, cerca de la costa.",Se alimentan de moluscos e invertebrados del fondo del mar.,"Suelen nadar en solitario o en parejas y grupos reducidos, su actividad es diurna. Son peces muy confiados.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/balistes_carolinensis.jpg
Pez Luna,Mola mola,"Tiene un cuerpo plano lateralmente y una forma de luna, redonda (sobretodo en su parte posterior) posee 4 dientes, tiene grandes dimensiones y peso, llegando a medir más de 3 metros y pesar 1 tonelada. Destacan 2 aletas pegadas a su cola de gran dimensión que sobresalen de su forma corpórea. Suele tener un color grisáceo.","Es una especie pelágica, y es habitual verlo nadar cerca de la superficie, donde destaca su silueta y puede sumergirse hasta profundidades de 600 metros.","Se alimenta de plácton, crustáceos y medusas.","Tienen un cerebro minúsculo, no son nada asustadizos y apenas tienen depredadores.","('',)",https://pecesmediterraneo.com/wp-content/uploads/2020/09/mola_mola_1.jpg
Rascacio,Scorpaena Porcus,"Pez alargado con una cabeza grande cubierta por espinas y ojos saltones, su cuerpo está cubierto de manchas de color pardo y rojizas. Mide entre 15 y 25cm de longitud.","Se encuentra en fondos rocosos o paredes de roca y también en praderas de posidonia, desde la superficie hasta los 500m de profundidad.","Se alimenta de crustáceos, principalmente de cangrejos, otros invertebrados y pequeños pescados como blénidos y góbidos. Son venenosos.","Es más activo de noche que de día, ya que sale a cazar sus presas.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/scorpaena_porcus.jpg
Pez escorpión enano,Scorpaena Loppei,"Cabeza grande y lomo curvado, tiene una aleta dorsal con 12 espinas y 9 radios que alojan el veneno, tiene un color rosado con manchas oscuras, suelen medir unos 10cm.",Vive semienterrado en fondos de arena o fangosos bajo profundidades de 80 y 300 metros.,"Es un depredador voraz que se alimenta de peces, calamares y zooplancton",Caza por la noche quedándose a la espera para atrapar a la presa.,"('',)",https://pecesmediterraneo.com/wp-content/uploads/2020/09/scorpaena_loppei_2.jpg
Escórpora,Scorpaena Notata,"Tiene un cuerpo robusto no muy largo, con el lomo arqueado sobre el que destacan espinas verticales que forman la aleta dorsal. Cabeza grande donde resaltan sus ojos de gran tamaño, Coloración rojo/parduzco, marrón violáceo o rosáceo. Mide alrededor de los 10-18cm de longitud.",Se encuentra en fondos rocosos en grietas o cavidades y también en praderas de posidonia. Entre los 30 y 200m de profundidad.,"Se alimenta de crustáceos, principalmente de cangrejos, otros invertebrados y pequeños peces. Son cazadores voraces.","Es más activo de noche que de día, ya que sale a cazar sus presas. Si se ve incordiado se mueve a poca distancia y vuelve a quedarse parado.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/scorpaena_notata.jpg
"Cabracho, Cap Roig",Scorpaena Scrofa,"Tiene un cuerpo robusto y alargado, con el lomo arqueado sobre el que destacan espinas verticales que forman la aleta dorsal. Cabeza grande y boca de gran tamaño, Coloración rojo/parduzco, repleto de manchas anaranjadas. Mide alrededor de los 30-50cm de longitud.",Se encuentra en fondos rocosos o de coral a partir de los 20m de profundidad y en grandes profundidades sobre fondos fangosos y arenosos. Viven entre los 20 y 300 metros de profundidad.,"Se alimenta de crustáceos, moluscos, otros invertebrados y pequeños peces. Son cazadores voraces.","Es más activo de noche que de día, ya que sale a cazar sus presas. Si se ve incordiado se mueve a poca distancia y vuelve a quedarse parado. Modifican su color para mimetizarse con el entorno.",25cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/scorpaena_scrofa.jpg
Gallineta Rosada,Scorpaena Elongata,"Ronda los 35cm de longitud, cabeza grande al igual que su boca, tiene los ojos ligeramente mas grandes que los del cabracho, no posee veneno en sus espinas dorsales, tiene unas aletas pectorales muy amplias. Es de color rosado.",Habita entre los 75 y 800 metros de profundidad sobre suelos fangosos donde busca sus presas.,"Se alimenta de pequeños peces bentónicos, moluscos y crustáceos como las gambas.","Tiene una muy baja tasa de reproducción, lo que hace que sea una especie vulnerable.","('',)",https://pecesmediterraneo.com/wp-content/uploads/2020/09/Scorpaena_Elongata_2.jpg
Torillo Ocelado,Blennius Ocellaris,"Pez de cuerpo alargado que decrece desde la cabeza a la cola, destacan 2 tentáculos por encima de sus ojos y una aleta dorsal espinada muy larga, es de color pardo con bandas verticales más oscuras, suele medir alrededor de los 15cm.",Viven en fondos duros entre los 10 y los 400 metros de profundidad.,Se alimentan de pequeños invertebrados del fondo del mar.,Están pegados en el fondo y son una especie nocturna.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/blennius_ocellaris.jpg
Dormilón,Aidablennius Sphynx,"Pez muy pequeño de unos 7cm, con cuerpo alargado, destacan sus grandes aletas laterales con forma de abanico, son de color amarillento-marrón con bandas rojas y azules.",Viven a muy poca profundidad (máximo 3m) en fondos arenosos o huecos y agujeros rocosos.,Se alimentan de invertebrados minúsculos y algas.,Prefieren acostarse en las rocas en zonas de sombra.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/aidaBlennius_sphynx.jpg
Lagartina,Parablennius sanguinolentus,"Pez que tiene una longitud habitual de unos 12 cm, con cuerpo alargado decreciente, su aleta dorsal cubre todo el cuerpo hasta llegar a la cola. Su coloración es marrón-amarillenta salpicada por múltiples manchas negras que cubren su cuerpo.",Viven a muy poca profundidad (máximo 5m) en fondos de grava o rocas cubiertas de vegetación.,Se alimentan de algas. Son ovíparos.,Es un pez que habita toda su vida en la misma zona.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/parablennius_sanguinolentus.jpg
Barriguda,Parablennius Pilicornis,"Pez que tiene una longitud habitual de unos 12-15 cm, con cuerpo alargado bastante uniforme, su aleta dorsal cubre todo el cuerpo hasta llegar a la cola. Su coloración es muy variada según su estado de ánimo, normalmente pálido con manchas, pero puede ser lila o amarillo.",Sobre fondos rocosos hasta los 25m de profundidad cerca de grietas que usan como refugio,Se alimentan de algas e invertebrados.,"Son territoriales y solitarios, bastante curiosos. Suelen estar acostados sobre sus aletas branquiales.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/parablennius_pilicornis.jpg
Mona,Coryphoblennius Galerita,"Es alargado, con cuerpo espigado y boca grande, su longitud máxima es de 7,5cm. Coloración variable aunque predomina el amarillo claro.",Vive pegado al fondo sobre superficies rocosas.,"Son omnívoros, aunque en su etapa adulta solo comen algas.",Su mayor característica es que puede permanecer fuera del agua bajo rocas o algas.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/coryphoblennius_galerita.jpg
Flora,Lypophris Caneval,"Es alargado, con cuerpo espigado y boca grande, su longitud máxima es de 7cm. Coloración variable aunque predomina el color claro con manchas marrones.","Viven a muy poca profundidad entre los 0 y 2 metros en cavidades, agujeros o grietas de las rocas.","Son omnívoros, come invertebrados, moluscos y algas.",Los machos guardan con mucho celo los nidos de huevos.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/lypophris_caneval.jpg
Flora Roja,Microlipophrys nigriceps,"Pez alargado de igual forma que los de su tipo, destaca su color naranja y cabeza oscura, es un pez pequeño de no más de 4,3cm.","Se encuentra en áreas costeras, en hasta 6 m de profundidad, sobre suelos rocosos introducidos en agujeros o grietas de estos.",Se alimenta de algas y cazando pequeños invertebrados.,Sólo están activos durante el día.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/microlipophrys_nigriceps.jpg
Gallerbo o Blenio Pavo,Lypophrys Pavo,"Pez alargado de igual forma que los de su tipo, es de color beige con motas de color azul cielo en algunos casos, su longitud está alrededor de los 4cm, llegando hasta los 13cm.","Se encuentra en áreas costeras, en muy poca profundidad, sobre suelos rocosos introducidos en agujeros o grietas de estos.","Se alimenta pequeños invertebrados, moluscos o gambas.","Muy curiosos, se posan sobre la roca ojeando lo que sucede a su alrededor.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/lypophrys_pavo.jpg
Gobio de Roca,Gobius Cobitis,"Hasta 27 centímetros de longitud, es de color gris a marrón oliva con marcas de ‘pimienta y sal’, estas son especialmente notables en especímenes más pequeños, en la época de reproducción el macho es más oscuro que la hembra.",Habita en las piscinas de roca en lo alto de la intermareal de las costas. Las piscinas ocupadas generalmente contienen rocas debajo de las cuales el gobio gigante puede refugiarse.,"Esta especie se alimenta de gusanos poliquetos, algas, anfípodos, cangrejos e insectos.",Reposan sobre roca en busca de presas.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2020/05/gobius_cobitis.jpg
Chaparrudo,Gobius Niger,"Tiene un cuerpo más profundo que los otros gobios, el color es un poco de tono marrón oscuro con manchas negras indistintas. El color del macho se vuelve casi negro durante la temporada de reproducción y sus aletas se vuelven más vívidas. El tamaño promedio de este pez es de unos 5 a 7 cm.","Es originario de aguas poco profundas entre los 2 y 10m, hasta 50m máximo, su hábitat típico es lagunas, estuarios y aguas costeras, en fondos arenosos o fangosos y entre pastos marinos y algas marinas.",Se alimenta de pequeños invertebrados en el fondo marino.,Reposan sobre roca en busca de presas y se meten por cavidades cuando sienten peligro.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/gobius_niger.jpg
Gobio de Roulei,Gobius Roulei,"Tiene un cuerpo alargado de no más de 8 cm, normalmente entre 4 y 5 cm. Color claro con manchas negras en forma de banda horizontal a través de su cuerpo.","Habitan fondos arenosos o de grava, entre los 3 y 25 metros de profundidad.","Son carnívoros comen fauna bentónica, incluyendo bivalvos, gasterópodos, poliquetos, pagúidos, mísidos, gammaridos y peces.","Reposan sobre el fondo, cuando son incordiados nadan unos metros y se vuelen a quedar quietos.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/gobius_roulei.jpg
Gobio de Boca Roja,Gobius Cruentatus,"Esta especie puede alcanzar una longitud de 18 centímetros, destacan sus manchas en la cabeza y sus labios rojizos, tiene cuerpo alargado y cilíndrico. Es de color marrón con manchas rosadas.",Se encuentra en aguas costeras a profundidades de 15 a 40 Metros en áreas con sustratos rocosos o arenosos o en praderas de pastos marinos.,Su alimentación está basada en crustáceos y moluscos.,Es una especie solitaria y cuando se ven amenazados se apresuran a esconderse en huecos o grietas.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/gobius_cruentatus.jpg
Gobio de Bucchichii,Gobius Bucchichi,"Esta especie puede alcanzar una longitud de 10 centímetros, tiene cuerpo alargado y cilíndrico. Es de color beige con manchas oscuras.",Se encuentra en aguas costeras a poca profundidad (máximo 6 m) sobre paredes de roca o fondos duros rocosos.,"Su alimentación está basada en crustáceos, algas e invertebrados.",Cuando se ven amenazados se apresuran a esconderse en huecos o grietas.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/gobius_bucchichi.jpg
Gobio de Arena,Pomatoschistus Minutus,"El gobio de arena es de un color arenoso, con marcas más oscuras en los lados y una parte inferior de color blanco cremoso, tiene un cuerpo delgado y la cabeza es aproximadamente un cuarto de la longitud total. Esta especie puede alcanzar una longitud de 11 centímetros aunque su tamaño standard es de aproximadamente 4 a 5 cm.",Se encuentra en la arena o áreas fangosas de aguas costeras a profundidades de 4 a 200 metros.,"Se alimenta de pequeños invertebrados que viven en los fondos marinos, especialmente de anfípodos.",Normalmente espera bien camuflado e inmóvil en el fondo esperando que una presa se le acerque.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/pomatoschistus_minutus.jpg
Salmonete de Roca,Mullus Surmuletus,"Esta especie puede alcanzar una longitud de 40 centímetros, aunque la mayoría mide alrededor de 25 centímetros, tiene el cuerpo alargado, con la boca en la parte inferior de su cabeza, de ella salen 2 antenas, normalmente tienen un color rosado, aunque su color es variable.","Frecuenta sobre todo los fondos arenosos o de grava, desde los 5 hasta los 80 metros de profundidad.","Se alimentan de crustáceos, anfípodos, poliquetos, moluscos o pequeños peces.","Constantemente remueven la arena y la filtran para alimentarse, pueden vivir en pequeños grupos.",11cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/mullus_surmunetus.jpg
Salmonete de Fango,Mullus Barbatus,"Puede medir hasta una longitud de 30 cm, pero una longitud más común es aproximadamente 15 cm. El hocico es corto y empinado. Tiene un par de antenas moderadamente largas en la barbilla. Su color más predominante es claro amarillento con una linea oscura horizontal que atraviesa su cuerpo.","Se encuentra en profundidades que van desde 10 a 300 m, sobre fondos fangosos, arenosos o de grava.","Es carnívoro, su dieta consiste principalmente en gusanos poliquetos , moluscos bivalvos y crustáceos.","Constantemente remueven la arena y la filtran para alimentarse, pueden vivir en pequeños grupos.",11cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/mullus_barbatus.jpg
Chicharra,Dactylopterus Volitans,"Cuerpo alargado y cilíndrico o rectangular, cuando despliega sus aletas pectorales se muestran como grandes abanicos, tiene color marrón rojizo por el dorso; aletas pectorales verdes y azuladas, muy llamativas. Mide hasta 50 centímetros de longitud.","Se encuentra en profundidades que van hasta los 150m, sobre fondos arenosos o de grava.","Su dieta consiste principalmente en bivalvos, pequeños peces y crustáceos. Se reproducen en verano.",Puede realizar una serie de sonidos-ronquidos y desarrollan su mayor actividad durante la noche.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/dactylopterus_volitans.jpg
Bejel,Trigla Lucerna,"Cuerpo decreciente en forma de cono, con la cabeza siendo el punto más elevado de este, con ojos grandes y mentón pronunciado, es de color rojo con el vientre blanco. Puede llegar a medir hasta 75cm de longitud, siendo 30cm la longitud más común.","Vive en fondos de arena o fango, cerca de las rocas y a partir de los 40 metros de profundidad.","Se alimentan desenterrando a sus presas, principalmente de crustáceos, en su mayoría decápodos, pero también peces y moluscos.",Realizan sonidos similares a los gruñidos. Escarban el fondo constantemente.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/trigla_lucerna.jpg
"Rubio, Cabrilla",Trigla Lyra,"Pez con cabeza grande y ojos saltones con cuerpo decreciente hasta terminar en una cola puntiaguda tiene unas pequeñas patas debajo de su cabeza, es de color rojizo y una longitud de unos 30 cm.","('',)",Se alimentan de crustáceos y sienten predilección por las gambas.,Sus patas no solo le sirven para desplazarse por el fondo si no también como aparato sensorial para desplazarse en la oscuridad.,"('',)",https://pecesmediterraneo.com/wp-content/uploads/2020/09/trigla_lyra_3.jpg
Pez escorpión,Trachinus Draco,"Pez alargado y aplanado lateralmente con ojos verticales y una boca superior distinta que se inclina hacia arriba. La mandíbula inferior es más larga que la mandíbula superior, las espinas en cada una de las cubiertas branquiales tienen glándulas de veneno. Su longitud va desde 10 cm hasta un máximo de 26cm.","Vive en aguas poco profundas hasta 150 metros, donde habita en su mayoría terrenos fangosos o arenosos.","Es carnívoro que se alimenta principalmente de Decápodos, Bonefish y Camarones.",Es un llamado depredador de emboscada que se sumerge en la arena fina durante el día solo con sus ojos y la punta de la aleta dorsal expuesta. Allí se esconde hasta que emerge una presa que luego es atacada por el depredador de forma rápida.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/trachinus_draco.jpg
Araña,Trachinus Araneus,"Pez alargado con cuerpo estirado, color verdoso con manchas negras, mide hasta 40 cm de longitud aunque su longitud normal es de unos 30cm. Es venenoso.",Vive sobre fondos arenosos o fangosos a no mucha profundidad. Entre 1 y 100m.,Se alimenta principalmente de peces y crustáceos.,Es depredador de emboscada que se sumerge en la arena esperando a su presa y solo deja al aire su espina venenosa a modo de cebo.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/trachinus_araneus.jpg
Araña Leopardo,Trachinus radiatus,"Pez alargado con la cabeza más grande que el resto del cuerpo que va en forma decreciente hasta la cola, boca oblicua, color verdoso con manchas negras, mide hasta 40 cm de longitud.","Vive sobre fondos arenosos o fangosos entre los 5 y 60 metros de profundidad, normalmente enterrado.",Se alimenta principalmente de peces y crustáceos.,Es depredador de emboscada que se sumerge en la arena esperando a su presa.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/trachinus_radiatus.jpg
Araña Menor,Echiichthys Vipera,"Cuerpo alargado, color amarillento-pardusco, no mide más de 30 centímetros. Tiene una espina venenosa delante de su aleta dorsal.","Generalmente se encuentra en los fondos arenosos del mar abierto, cerca de la costa, desde unos pocos metros de profundidad hasta 150 m.",Se alimenta principalmente de peces y crustáceos.,"Descansando en la parte inferior, su posición puede describirse como con los ojos enterrados y la punta de la primera aleta dorsal expuesta.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/echiichthys_vipera.jpg
Rata,Uranoscopus Scaber,"Cuerpo robusto alargado y voluminoso, puede llegar a los 40cm, tiene una cabeza grande y ojos pequeños, tiene una espina venenosa, su coloración es predominantemente marrón.",Vive normalmente enterrado en fondos de arena en hasta 100 metros de profundidad.,Come crustáceos y peces.,Se expone más durante la noche y se suele esconder bajo la arena.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/uranoscopus_scaber.jpg
Mona Amarilla,Tripterygion Delaisi,"Cuerpo alargado, alrededor de los 7cm de longitud, tiene una cabeza pequeñas, su coloración es predominantemente marrón o gris, con banda anchas oscuras sobre su lomo.","Vive normalmente cerca de la costa sobre fondos rocosos a poca profundidad, nunca mayor de 20m.",Come plancton y pequeños animales que están en el fondo.,"Le gustan las zonas oscuras, si te acercas se desplazan levemente pero no se esconden.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/tripterygion_delaisi_2.jpg
Mona Roja,Tripterygion Tripteronotus,"Cuerpo alargado y delgado, de no más de 8cm de longitud, tiene una cabeza pequeña y morro en punta, su coloración es predominantemente rojo o naranja en machos y amarillento marrón en las hembras.","Vive normalmente cerca de la costa sobre fondos rocosos a poca profundidad, nunca mayor de 12m.",Come plancton y pequeños animales que están en el fondo.,Es fácil acercarse a él pero a la vez es muy dinámico y si se siente en peligro se esconde rápidamente.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/tripterygion_tripteronotus.jpg
Congrio,Conger Conger,"Cuerpo alargado y cilíndrico, similar al de una serpiente, su cabeza tiene una boca amplia, tiene 2 pequeñas aletas pectorales y su coloración es gris intenso. Puede llegar a medir hasta 3 metros.","Pueden vivir cerca de la costa en cuevas y cavidades rocosas, también se han visto a grandes profundidades hasta los 1000 metros.","Come peces, crustáceos y moluscos como el pulpo y calamares.","Desarrolla su mayor parte de actividad depredadora por las noches, cuando sale de su escondite a por presas.",60cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/conger_conger.jpg
Morena,Muraena Helena,"Es un pez con el cuerpo alargado con aspecto de serpiente, tiene una boca grande con una dentadura afilada. No tiene aletas, pero sí que tiene una cresta. Tiene colores marrones con manchas amarillas y negras bastante irregulares, puede llegar a medir 1 metro de longitud.","Pueden vivir cerca de la costa en cuevas y cavidades rocosas, hasta los 100metros.","Come peces, crustáceos y cefalópodos, es un depredador.","Desarrolla su mayor parte de actividad depredadora por las noches, son solitarias y muy territoriales, tienen una gran agresividad.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/muraena_helena.jpg
"Podas, Soldado, Pedaç",Bothus Podas,"La forma de su cuerpo es ovalada y aplastada como un folio, pueden llegar a alcanzar los 45cm de longitud, tienen ojos saltones y su coloración se mimetiza con el fondo marino donde reposan, aunque tienen ciertas pequeñas manchas sobre su cuerpo.",Vive en fondos arenosos o de grava entre los 5 metros y los 100 metros de profundidad.,"Su alimento son pequeños invertebrados del suelo como gusanos, crustáceos y moluscos, así como otros peces pequeños.",Nadan realizando movimientos ondulatorios con su cuerpo a ras de suelo.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/bothus_podas.jpg
Rodaballo,Psetta Maxima,"La forma de su cuerpo es redondo algo asimétrica y aplanada, se mimetiza con su entorno o tiene un color grisáceo, una boca grande y ojos asimétricos. Mide alrededor de 60cm de longitud.","Vive en fondos arenosos, de grava o fangosos entre los 5 metros y los 100 metros de profundidad.",Su alimento son peces bentónicos y en menor medida moluscos y crustáceos.,Nadan realizando movimientos ondulatorios con su cuerpo a ras de suelo.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/psetta_maxima_3.jpg
Rombo,Scophthalmus Rhombus,"La forma de su cuerpo es redondo algo asimétrico y aplanada, se mimetiza con su entorno pero tiene unas manchas irregulares por todo el cuerpo, una boca grande y ojos asimétricos. Puede llegar a los 70cm de longitud.","Vive en fondos arenosos, de grava o fangosos entre los 5 metros y los 100 metros de profundidad.",Su alimento son peces bentónicos y en menor medida moluscos y crustáceos.,Nadan realizando movimientos ondulatorios con su cuerpo a ras de suelo. Es una especie escasa,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/scophthalmus_rhombus.jpg
Lenguado,Solea Solea,"La forma de su cuerpo es ovalada y plana, algo alargado, puede llegar a medir los 60cm de longitud, su coloración es marrón claro.",Vive en fondos arenosos o de grava entre los 10 metros y los 60 metros de profundidad.,Su alimento crustáceos e invertebrados que viven en los fondos.,"Nadan realizando movimientos ondulatorios con su cuerpo a ras de suelo. No son especialmente escurridizos, salvo si consiguen mimetizarse con el fondo.",20cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/solea_solea.jpg
Rape,Lophius Piscatorius,"Cuerpo muy irregular y aplanado, amplio y curvado, con una boca muy grande y unas grandes aletas pectorales, resaltan unos prominentes ojos sobre su boca, puede medir entre 150 y 200 cm de longitud.",Vive en fondos fangosos o de gran vegetación entre los 30m y los 150m de profundidad.,Son carnívoros y se alimentan preferentemente de otros peces.,Su forma de cazar consiste en atraer a las presas con un lóbulo que hace la función de cebo y atrapar a los peces que se acercan con su amplia boca.,30cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/lophius_piscatorius.jpg
Raja Aspera,Raja Radula,"Cuerpo en forma de pentágono y aplanado con una cola puntiaguda, pueden alcanzar hasta los 70 cm de longitud, tiene manchas oculares a ambos lados de la línea media del cuerpo el resto de la espalda es de color gris amarillento marcado con manchas grises y rayas. La parte inferior es casi blanca.","Vive en fondos de gran profundidad, hasta los 300 m.",Se alimenta de todo tipo de animales del fondo marino.,Planea por el fondo marino de forma elegante.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/raja_radula.jpg
Raya Boca de Rosa,Raja Brachyura,"Cuerpo en forma de rombo y aplanado con una cola puntiaguda, pueden alcanzar hasta los 120 cm de longitud, tiene manchas irregulares negras por todo el cuerpo es de color marrón amarillento. La parte inferior es casi blanca.",Es una especie costera y vive en profundidades que van desde los 5m hasta los 100m.,"Los juveniles se alimentan de crustáceos más pequeños, mientras que los adultos más grandes se alimentan de organismos más grandes.",Planea por el fondo marino de forma elegante y se deja observar.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/raja_brachyura.jpg
Raya Estrellada,Raja Asterias,"Cuerpo en forma de rombo y aplanado con una cola puntiaguda, pueden alcanzar hasta los 75 cm de longitud, tiene manchas irregulares oscuras por todo el cuerpo es de color canela. La parte inferior es casi blanca.",Sobre fondos fangosos o arenosos hasta 150m de profundidad.,Se alimentan de animales bentónicos.,Planea por el fondo marino de forma elegante si son molestadas intentan atacar con el aguijón.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/raja_asterias.jpg
Raya de Clavos,Raja Clavata,"Cuerpo en forma de rombo, aunque no muy simétrico, y aplanado con una cola puntiaguda, pueden alcanzar hasta los 120 cm de longitud, su coloración es muy variable, con la superficie dorsal con todos los tonos de marrón con manchas oscuras y claras y manchas, superficie ventral blanca.",Sobre fondos fangosos o arenosos entre los 20 y 600m de profundidad.,Se alimentan de crustáceos y animales bentónicos.,Planea por el fondo marino de forma elegante y son solitarios.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/raja_clavata.jpg
Pastinaca Común,Dasyatis Pastinaca,"Cuerpo en forma de abanico y aplanado con una cola puntiaguda terminada en aguijón venenoso, tienen entre 1,2m y 2,1m de ancho. Su coloración es muy variable, tiene una superficie ventral blanca.",Vive en áreas cercanas a la costa con rango de profundidad entre 5 a 100 m,Se alimentan de pescado e invertebrados bentónicos.,Permanecen enterrados bajo la arena y nadan lentamente.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/dasyatis_pastinaca.jpg
Pastinaca Violeta,Pteroplatytrygon violacea,"Cuerpo en forma de rombo su parte central es más grande que las demás de su especie, con una cola puntiaguda terminada en aguijon venenoso, su coloración es violeta azul.","Cerca de la superficie, en mar abierto.",Se alimenta de invertebrados y peces.,"Nada cerca da la superficie, es una especie migratoria.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/pteroplatytrygon_violacea_2.jpg
Raya Mariposa,Gymnura Altavela,"Cuerpo en forma de abanico, puede medir más de 2 metros, su cola es muy pequeña, la coloración es marrón oscuro en la parte superior, a veces con pequeñas manchas más claras o más oscuras o color mármol.","Se encuentra en aguas costeras poco profundas sobre fondos de fango o arenosos, a una profundidad de 5 a 100 m.",Se alimenta de invertebrados y peces.,Son una especie muy tranquila que nada lentamente por el fondo.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/gymnura_altavela.jpg
Aguila Marina,Myliobatis Aquila,"Cuerpo aplanado en forma de disco, la cabeza que le sobresale con un hocico corto y redondeado. Puede superar los 80 cm de largo per normalmente tiene un tamaño más pequeño. Su coloración es entre marrón y negro.","Nada a mar abierto entre 1-300 m de profundidad, también puede verse cerca de la superficie. En ocasiones se localiza en fondos arenosos y fangosos.",Se alimenta de crustáceos y moluscos y de peces de pequeño tamaño que viven en el fondo.,"Acude con frecuencia a las zonas más costeras, para alimentarse. Su aleteo es como el de un pájaro batiendo sus alas.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/myliobatis_aquila.jpg
Pez Obispo,Pteromylaeus Bovinus,"Cuerpo aplanado en forma de disco o rombo, presenta un hocico pronunciado y puntiagudo, tiene una gran envergadura, la cual llega a alcanzar 1,5 m.​ Su coloración es marrón clara en el dorso y blanco ventralmente.",Su hábitat se encuentra en aguas cálidas tropicales y cercanas a la costa.,Su alimentación se compone principalmente de crustáceos y moluscos del fondo marino.,Nadan por el fondo o a media profundidad. A veces forman pequeños grupos.,N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/pteromylaeus_bovinus.jpg
